municipality_code,municipality_name,indicator_id,raw_value,source
0103,Anadia,percentagem_poder_compra,0.218,static
0103,Anadia,prop_agregados_unipessoais,23.24,static
0103,Anadia,prop_alojamentos_arrendados,0.0256,static
0103,Anadia,prop_alojamentos_locais,3.51,static
0103,Anadia,prop_alojamentos_nao_classicos,0.11,static
0103,Anadia,prop_alojamentos_sobrelotados,6.94624053205246,static
0103,Anadia,prop_alojamentos_vagos,15.5,static
0103,Anadia,prop_ar_condicionado,9.606502863,static
0103,Anadia,prop_edificios_fora_urbano,2.5,static
0103,Anadia,prop_ensino_secundario,38.17,static
0103,Anadia,prop_habitacao_social,0.114996956,static
0103,Anadia,prop_mais_20min_escola,83.12,static
0103,Anadia,prop_mais_30min_hospital,0,static
0103,Anadia,prop_modo_pedonal,8.6,static
0103,Anadia,prop_nacionalidade_estrangeira,0.084,static
0103,Anadia,prop_necessidade_reparacao,19.29,static
0103,Anadia,prop_pop_65_mais,29.46,static
0103,Anadia,prop_reabilitacao_edificado,20,static
0103,Anadia,prop_risco_pobreza,20.77777778,static
0103,Anadia,prop_sem_aquecimento,19.43,static
0103,Anadia,prop_transporte_coletivo,7.5,static
0103,Anadia,prop_vagos_bom_estado,47.63339,static
0103,Anadia,racio_vendas_estrangeiros,1,static
0103,Anadia,risco_galgamentos_costeiros,0,static
0103,Anadia,risco_incendio_rural,44.001,static
0103,Anadia,risco_inundacao,0,static
0103,Anadia,risco_movimento_massa,4.86,static
0103,Anadia,risco_nevao,0.001,static
0103,Anadia,risco_ondas_calor,50,static
0103,Anadia,risco_ondas_frio,66.667,static
0103,Anadia,risco_seca,33.333,static
0103,Anadia,risco_sismo,51.588,static
0103,Anadia,risco_tsunami,0,static
0103,Anadia,taxa_bruta_natalidade,6.2,static
0103,Anadia,taxa_crescimento_efetivo,1.08,static
0103,Anadia,taxa_desemprego,4.33,static
0103,Anadia,taxa_esforco_arrendamento,27.73606662,static
0103,Anadia,valor_mediano_vendas_m2,776,static
0104,Arouca,acessos_internet_banda_larga,32.92,static
