municipality_code,municipality_name,taxa_crescimento_efetivo,taxa_bruta_natalidade,prop_pop_65_mais,prop_ensino_secundario,prop_nacionalidade_estrangeira,densidade_populacional,empresas_volume_negocios,percentagem_poder_compra,coeficiente_gini,disparidade_ganho_mensal,taxa_desemprego,prop_risco_pobreza,prop_agregados_unipessoais,prop_edificios_fora_urbano,prop_mais_20min_escola,prop_mais_30min_hospital,duracao_pendulares,acessos_internet_banda_larga,valor_mediano_vendas_m2,racio_vendas_estrangeiros,taxa_esforco_arrendamento,prop_alojamentos_arrendados,prop_alojamentos_sobrelotados,prop_habitacao_social,prop_alojamentos_locais,indice_envelhecimento_edificios,prop_necessidade_reparacao,prop_reabilitacao_edificado,prop_alojamentos_vagos,prop_vagos_bom_estado,prop_alojamentos_nao_classicos,certificacao_energetica_cf,consumo_energia_eletrica,emissoes_gee_edificios,prop_sem_aquecimento,prop_ar_condicionado,emissoes_gee_transportes,prop_modo_pedonal,prop_transporte_coletivo,risco_incendio_rural,risco_inundacao,risco_galgamentos_costeiros,risco_ondas_calor,risco_ondas_frio,risco_nevao,risco_seca,risco_sismo,risco_movimento_massa,risco_tsunami
0113,Oliveira de Azeméis,0.29,6.4,23.07,35.91,0.049,418.8,380618.2,0.538,40.3,12.5,6.06,18.09480813,17.9,2,59.86,0,14.41,38.76,1111,1,25.48240559,0.0658,10.2273640234594,0.168050613,0.51,822.3,17.31,15,11.5,47.95571,0,37.81278962,1397.5,16.51,23.03,21.9570981,85.38,12.9,5.2,44.224,0,0,40.497,66.667,0.098,33.333,35.88,8.448,0
0114,Oliveira do Bairro,2.85,7.4,23.55,41.77,0.104,295.2,398457.3,0.198,40.1,11,4.59,19.00483092,20.11,3.1,77.31,0,16.21,37.82,1130,1,28.17583919,0.042,9.21478060046189,0.044216484,1.09,656.2,17.91,7.3,12.5,48,0.8,49.14529915,1286.2,4.45,20.83,10.81986143,38.33,8.7,7.1,29.334,0,0,34.74,66.667,0,33.333,65.251,0.202,0.999
0115,Ovar,1.65,7.2,21.47,43.36,0.049,390.5,498648.8,0.476,42.4,9.4,7.12,18.18360196,19.66,3.9,65.85,1,18.24,42.47,1515,1,32.83827119,0.0673,11.8964444657127,0.933422904,7.75,726.2,11.95,1,8,55.21151,0.05,51.02586976,1289.3,33.45,30.17,7.077570943,112.42,12.2,10.1,26.149,4.105,24.98,25.01,66.658,0,33.333,56.721,0.036,14.206
0116,São João da Madeira,1.6,5.9,22.16,44.95,0.106,3053.8,504368.6,0.25,43.7,8.4,8.73,18.1858006,22.31,0.2,0.54,0,15.4,43.57,1288,1,32.00901535,0.1334,10.8054138007543,6.24688652,1.42,1166.7,10.02,36.4,9.2,65.64103,0,60.21505376,1130.5,5.42,32.48,13.7009097,29.45,22.1,4.9,13.087,0,0,50,66.667,0,33.333,33.333,0.221,0
0117,Sever do Vouga,0.72,7.8,29.46,35.45,0.084,84.9,293671.8,0.083,39.4,11.3,3.43,21.59031657,23.03,3.5,86.95,25,17.18,37.24,703,1,20.72812701,0.0549,7.6888489208633,0.264182425,3.66,718.1,12.68,38.1,16.6,57.54237,0,54.49438202,1449.8,2.32,15.24,16.29946043,17.95,9,10.8,69.484,0,0,50,66.667,1.258,33.333,33.434,23.449,0
0118,Vagos,2.88,7.8,24.07,37.59,0.09,152.6,377049.1,0.184,41.3,8.8,5.01,22.72434916,21.93,2.8,84,0,17.41,39.5,1399,1,32.20374876,0.0506,8.86032365430965,0.319683361,3.93,270.8,17.07,0,10,51.57658,0.16,38.00383877,1418.4,6.23,21.35,5.658211867,33.82,7.3,9.5,38.976,1.512,12.662,25,66.667,0,33.333,65.434,0.121,7.365
0119,Vale de Cambra,-0.06,6.8,28.18,35.93,0.059,144.2,339822.9,0.173,40.5,11.4,4.21,18.86602871,20.61,7.9,73.44,4,15.76,39.17,1101,1,29.10658942,0.0163,8.4125475285171,0.025150905,2.23,762.9,14.68,13.7,12.1,51.66898,0.02,41.31736527,1305.3,5.38,16.28,26.52091255,25.02,11,6.9,70.704,0,0,50,66.667,9.248,33.333,34.026,27.435,0
0201,Aljustrel,0.01,8.3,28.63,33.47,0.07,19.5,458737.4,0.073,40.6,14,6.44,14.12129964,27.35,3.9,54.83,16,16.11,40.76,619,1,27.70829673,0.0571,9.8086769064942,0.508733254,1.29,1134.7,14.09,0,17,63.12625,0.64,78.98089172,1429.6,2.4,15.71,35.56992724,27.71,24.7,11.4,22.519,0,0,74.05,66.667,0,86.559,37.508,0.061,0
0202,Almodôvar,-0.63,6,32.63,31.89,0.098,8.6,98525.32,0.052,43.2,5.9,6.07,22,29.29,30.3,60.75,99,16.42,38.05,618,1,29.43675246,0.0286,10.1182197496522,0.177085178,3.43,1659,11.08,27.3,15.3,70.91121,0.01,60.50420168,1614.6,1.52,16.27,33.13630042,28.74,31.6,13,41.781,0,0,59.324,41.107,0,100,55.725,3.138,0
0203,Alvito,1.05,9.6,30.04,34.7,0.059,8.7,164703.8,0.017,42.6,13,7.23,19.35273243,27.64,20,100,69,17.09,42.38,764,1,29.24805532,0.1704,7.89473684210526,1.697792869,7.48,3057.9,22.3,50,25.4,51.46067,1.01,67.9245283,1707.9,0.43,25,25.76754386,1.94,31.4,16.9,21.986,0,0,75,66.667,0,99.479,33.995,0.091,0
0204,Barrancos,-1.05,6.3,27.47,37.25,0.023,8.4,160344.2,0.009,42.6,2.9,9.32,19.35273243,28.05,9.7,100,100,16.59,33.04,688,1,29.24805532,0.0189,7.34557595993322,0.616808019,4.22,2471.4,4.69,100,11.3,79.86111,0,86.36363636,1310,0.2,17.53,40.23372287,1.42,42.1,6.6,36.336,0,0,100,33.331,0,100,32.859,2.835,0
0205,Beja,0.34,8.9,23.54,47.79,0.202,29.6,305694.2,0.322,44.9,4.2,5.83,16.94277286,27.69,10.5,42.11,0,14.65,45.13,935,1,33.04315097,0.0654,10.4151223128243,1.758338639,2.75,3315.1,12.54,6.7,14.9,70.69597,0.81,73.07086614,1410,8.66,15.92,38.96219422,34.29,24.9,8.4,22.315,0,0,75.071,57.072,0,100,34.727,0.181,0
0206,Castro Verde,-0.27,7.9,26.98,39.48,0.062,12.2,574937,0.069,42.1,19.9,6.03,13.21020521,26.73,8,39.79,91,15.72,40.66,819,1,25.35657686,0.0822,8.11001410437235,0.99938813,2.8,1047.4,8.08,4.8,17.6,71.59488,0.25,63.71681416,1490.1,2.2,17.24,36.56558533,18.11,29.3,11.3,24.675,0,0,75,59.93,0,100,33.663,0.038,0
0207,Cuba,-0.04,8.3,26.71,37.68,0.096,26,103164.5,0.032,43.1,4.4,6.75,19.28484848,25.39,9.3,100,3,16.42,42.3,643,1,29.5718031,0.1781,8.29924021040327,2.009377093,6.35,2368.4,7.65,16,19.3,76.35727,0.62,81.96721311,1473.3,0.9,17.3,30.62536528,3.79,24,12,23.21,0,0,75,66.667,0,100,34.476,0.035,0
