DICO;Localizacao;pop_risco_pobreza;proporcao_al;txt_esforco_2023;variacao_txt_esforco_2017_2023;prop_fogos_hab_social;aru_oru;prop_drenagem_agua;prop_abast_agua;r_edi_habfa;certificacao_a_c;emicao_co2_transportes;cheias_inu;incendios;inund_galg;movi_massa;nevoes_pon;onda_de_calor;onda_de_fr;seca_ponde;sismo_pord;tsunami_po;ventos_for
0212;Ourique;19,83877996;1,82;30,71244896;2,038739571;0,966628308;1;71;83;33,3;25;20,9;0;31,485;0;1,883;0;62,471;65,859;92,671;36,538;0;34,111
0213;Serpa;23,89001692;2,28;32,03786982;2,789928377;0;0;100;100;36,7;25;12,13;0;25,318;0;0,441;0;82,107;33,333;100;34,187;0;33,358
0214;Vidigueira;19,52957172;0;30,0310605;1,334471634;0;0;95;97;55,6;25;4,61;0;30,312;0;2,403;0;83,656;52,82;100;40,245;0;33,984
0301;Amares;24,13523132;7,88;26,14153846;6,040277827;0;0;62;100;20;53;21,07;0;49,423;0;28,051;2,973;75;100;33,333;33,94;0;42,176
0302;Barcelos;20,74422735;1,59;30,31578947;1,873123873;0,371623726;2;72;94;4,8;53;172,71;0;38,072;0,003;7,798;0;47,758;100;33,333;34,278;0,124;48,564
0303;Braga;17,63659961;4,08;37,86000376;10,99953293;0,77202915;2;100;100;13,4;59;290,78;0;38,931;0;11,624;0,551;67,285;100;33,333;33,87;0;46,933
0304;Cabeceiras de Basto;30,2144873;6,36;22,49622039;-0,684740543;0,214899713;3;41;89;37,9;55;16,13;0;78,104;0;34,193;32,665;75;100;33,333;33,333;0;70,349
0305;Celorico de Basto;31,43373494;5,79;25,42725294;0,880040332;0;5;34;88;0;49;20,04;0;67,208;0;23,073;17,542;75;100;33,333;33,333;0;62,173
0306;Esposende;21,46;13,66;40,89188052;8,804999887;0,308223976;4;85;100;4,5;61;70,12;4,438;29,092;26,916;2,225;0;25;99,999;33,333;40,556;12,608;64,204
0307;Fafe;25,81947262;0,69;24,8130107;1,24103618;0,823837388;0;52;99;6,9;47;63,85;0;68,393;0;21,046;20,665;75;100;33,333;33,333;0;69,94
0308;Guimarães;17,75037594;1,9;29,7868784;4,241281057;2,384066587;0;94;99;13,2;54;243,66;0;43,972;0;15,759;0,803;73,172;100;33,333;33,333;0;45,229
0309;Póvoa de Lanhoso;26,11948529;1,72;25,92000001;2,827856458;0,31260283;0;53;99;1,6;52;20,48;0;60,764;0;23,251;3,08;75;100;33,333;33,333;0;47,448
0310;Terras de Bouro;28,39830508;41,9;44,59762639;9,945219971;0,472861842;0;37;94;0;47;5,63;0;80,12;0;55,051;48,139;82,33;100;33,333;33,315;0;75,904
0311;Vieira do Minho;30,61871921;0;28,22727273;-1,153819993;1,253918495;1;40;87;26,5;35;11,39;0;77,014;0;40,831;35,189;75;100;33,333;33,333;0;73,009
0312;Vila Nova de Famalicão;17,23768116;0;29,4196662;3,742557764;0,652209066;0;96;93;15,9;56;236,59;0;32,641;0;5,771;0;50,027;100;33,333;34,849;0;38,74
0313;Vila Verde;26,43495146;0;31,57296921;7,935144867;0,095305184;0;45;78;0;59;51,97;0;53,268;0;23,034;5,033;71,809;100;33,333;34,257;0;51,55
0314;Vizela;18,4649629;0;27,43355372;5,693025594;0,189693329;0;97;98;19,2;61;33,5;0;41,256;0;21,839;0;75;100;33,333;33,333;0;40,045
0401;Alfândega da Fé;31,8849252;3,24;21,24356436;-3,373807888;0,963733198;1;91;100;0;51;3,96;0;66,616;0;14,935;19,986;90,839;100;66,667;34,507;0;58,131
0402;Bragança;19,99273168;4,42;18,37685025;-0,837596701;1,072501073;0;90;99;25;42;58,99;0;70,169;0;10,715;59,764;75,333;100;66,667;34,382;0;69,098
0403;Carrazeda de Ansiães;30,84136546;2,74;27,57602438;-0,745396057;0,74019245;0;79;90;40;36;4,95;0;72,518;0;30,809;32,062;75;100;66,667;33,834;0;35,826
0404;Freixo de Espada à Cinta;25,63541667;4,06;26,44540066;-0,020457671;1,470588235;0;48;59;33,3;33;2,93;0;77,259;0;21,459;26,913;100;99,998;66,667;31,659;0;68,148
0405;Macedo de Cavaleiros;32,53959965;4,07;21,13981359;1,044564947;0,929996618;1;81;95;9,4;44;23,12;0;66,379;0;9,952;35,778;75,745;100;66,667;34,639;0;64,199
0406;Miranda do Douro;24,77383178;4,33;18,90396476;-1,488581827;0,397373877;0;96;100;64,7;36;5,81;0;58,578;0;1,513;57,065;100;99,999;66,667;36,09;0;65,702
0407;Mirandela;26,86200717;1,34;18,46488446;-3,796953981;1,189251736;0;90;98;0;49;42,66;0;59,121;0;8,005;5,304;75,497;100;66,667;34,174;0;46,291
0408;Mogadouro;29,44129555;4,38;19,55801644;-3,575005234;0,535690371;0;98;100;40;44;7,41;0;63,001;0;11,112;40,761;99,923;100;66,667;33,29;0;88,231
0409;Torre de Moncorvo;29,20958084;0;26,42394743;0,139802509;0,999866684;0;77;90;60;31;6,66;0;75,219;0;23,817;19,063;96,168;100;66,667;34,583;0;48,412
0410;Vila Flor;32,70434783;0;16,22435424;-7,354034885;0,614983228;0;98;98;0;28;5,2;0;66,325;0;17,104;18,602;75,301;100;66,667;34,715;0;43,843
0411;Vimioso;29,88246628;0;21,4274301;-1,870386495;0,8399832;0;94;95;0;60;3,63;0;68,648;0;9,214;40,044;92,352;100;66,667;35,216;0;65,357
0412;Vinhais;33,73882353;0;22,38108484;-2,267563809;0,559040087;0;79;100;0;26;7,04;0;76,677;0;19;54,161;85,868;100;55,672;33,311;0;73,703
0501;Belmonte;22,62178218;4,03;17,17079113;3,168967978;0;0;92;100;25;26;11,6;0;60,126;0;8,016;15,013;100;66,667;66,667;40,042;0;65,042
0502;Castelo Branco;16,9787508;1,1;22,6118817;1,993699889;0,755453272;1;78;99;9,2;41;64,61;0;54,942;0;4,642;3,393;92,073;67,281;66,667;33,978;0;47,785
0503;Covilhã;18,3757764;3,34;27,49062702;3,698145818;1,880592069;0;86;93;0;33;63,18;0;76,946;0;22,381;39,985;94,7;66,667;66,667;36,474;0;91,304
0504;Fundão;22,32939189;0;26,14545721;1,374619772;0,088479915;5;82;88;11,1;40;39,24;0;65,343;0;10,383;18,285;95,611;66,667;66,667;33,796;0;69,346
0505;Idanha-a-Nova;23,89724771;3,37;26,26861811;1,074182247;0,079189104;0;76;99;29,5;17;7,54;0;47,182;0;2,583;1,473;100;95,891;66,667;33,298;0;34,016
0506;Oleiros;24,45758355;1,19;25,95797043;-0,410195215;0;0;59;100;22,2;37;4,44;0;87,088;0;20,036;34,611;75;66,667;66,667;33,643;0;98,743
0507;Penamacor;23,86907449;2,79;25,36810869;1,237841249;0;3;94;98;50;12;4,41;0;61,156;0;7,802;22,406;100;97,23;66,667;34,498;0;42,188
0508;Proença-a-Nova;22,72434608;1,83;24,47739602;-0,225776337;0;1;50;100;55,6;46;6,46;0;71,742;0;9,555;8,455;75;66,667;66,667;34,161;0;53,915
0509;Sertã;27,47698745;2,21;27,26668273;1,639160398;0,249128052;0;33;100;0;37;12,33;0;77,987;0;10,987;9,325;75;66,667;66,667;33,604;0;72,977
0510;Vila de Rei;19,61220826;3,79;30,88892159;4,257560402;1,222736286;2;42;100;30,4;45;2,68;0;85,804;0;17,509;0,211;75;66,667;66,667;35,08;0;62,207
0511;Vila Velha de Ródão;18,0534846;2,81;22,09357998;0,628212589;0;0;95;100;25;43;24,75;0;57,506;0;9,367;0,038;79,19;66,667;66,667;35,668;0;35,147
0601;Arganil;22,71401152;4,25;22,61954262;1,057254441;0,218958124;1;63;92;7,7;34;9,43;0;86,047;0;24,123;24,416;75;66,667;66,667;39,211;0;90,619
0602;Cantanhede;22,73274336;1,04;25,73590821;2,239404713;0,052676947;1;98;99;17,6;51;58,3;0;40,552;3,188;0,088;0;35,296;66,667;33,382;56,17;0,798;36,174
0603;Coimbra;13,90764156;5,18;33,89088467;4,597733997;1,016974133;3;100;100;13,6;44;216;0,937;43,024;0;8,289;0;50;66,667;63,373;46,969;1,792;34,621
0604;Condeixa-a-Nova;14,35430666;2,12;25,81663548;4,873575798;0,229829442;0;88;100;23,5;56;48,93;0;44,168;0;7,257;0;50;66,667;66,667;44,783;0,374;36,049
0605;Figueira da Foz;17,03097893;6,71;35,66502216;9,971128417;1,274838944;4;95;100;44,8;46;101,75;2,603;37,68;13,541;1,31;0;25,091;66,666;33,333;53,491;11,91;50,81
0606;Góis;21,37616387;6,66;36,89726443;3,183617438;0,117970901;1;43;100;60;16;3,31;0;88,102;0;29,05;28,611;75;66,667;66,667;36,838;0;94,53
0607;Lousã;18,00806994;6,22;23,82699558;4,361557787;0,203409531;10;80;100;30;46;13,67;0;70,925;0;20,03;13,378;67,439;66,667;66,667;40,737;0;57,996
0608;Mira;22,84473198;7,31;23,08303961;-4,382976968;0;0;69;100;5,3;52;17,01;0,121;53,026;24,59;0,006;0;25;66,664;33,333;66,213;7,314;45,631
0609;Miranda do Corvo;18,86087625;3,22;25,27261385;3,771631531;0;0;63;100;32,4;52;12,78;0;71,303;0;18,424;7,257;51,893;66,667;66,667;41,65;0;45,271
0610;Montemor-o-Velho;16,44198895;1,17;24,25072372;3,170436678;0,030061626;2;71;100;9,5;46;29,24;0;28,791;0,016;0,573;0;40,132;66,667;35,311;56,852;16,228;33,333
0611;Oliveira do Hospital;22,47843137;3,57;19,66299925;-2,165490014;0,294519072;0;100;100;48,3;41;19,5;0;79,122;0;15,517;9,016;75;66,667;66,667;33,698;0;85,324
0612;Pampilhosa da Serra;20,6462963;3,21;36,22830708;3,512006916;0;0;44;100;66,7;25;3,48;0;92,709;0;26,574;38,281;75;66,667;66,667;33,864;0;99,194
0613;Penacova;23,72102161;3,95;22,30985915;-10,83459639;0,129854799;3;48;96;40;44;11,84;0;67,133;0;15,537;0,01;56,141;66,667;66,667;34,389;0;48,311
0614;Penela;22,01083032;5,59;37,12861295;2,079384129;0;0;38;80;11,1;33;12,31;0;65,305;0;18,606;8,379;54,151;66,667;66,667;34,436;0;47,105
0615;Soure;16,12545587;1,26;21,11790057;0,574126409;0,122871687;1;71;100;0;43;30,47;0;46,783;0,009;4,039;0,001;47,983;66,667;51,497;44,291;6,672;37,279
0616;Tábua;25,18467583;2,43;23,68077388;-1,036799791;0;0;78;82;0;27;9,37;0;70,392;0;6,16;0,017;75;66,667;66,667;33,545;0;75,189
0617;Vila Nova de Poiares;21,06743738;1,42;21,7560903;0,726883066;0;0;46;100;44,4;44;5,65;0;76,375;0;14,928;0;58,748;66,667;66,667;37,404;0;46,498
0701;Alandroal;19,76708373;4,54;32,27278364;1,891485147;0;0;75;87;40;23;4,54;0;30,221;0;0,225;0;100;33,333;77,81;34,252;0;33,19
0702;Arraiolos;14,00934579;5,7;28,49249898;0,61901966;0;0;88;92;40,9;28;6,84;0;25,78;0;0,203;0;75;66,667;71,21;59,262;0;43,31
0703;Borba;16,09612626;4,15;16,59349649;-3,670575779;1,435185185;0;85;98;42,9;19;9,05;0;42,796;0;1,001;0;100;47,989;66,667;33,333;0;34,592
0704;Estremoz;15,15673289;4,36;21,13415558;-0,084799799;0;0;72;83;87,5;16;20,1;0;36,298;0;1,12;0;79,505;66,665;71,706;36,419;0;34,647
0705;Évora;11,74807481;6,93;34,89309367;4,959334219;2,82753069;1;87;91;28,7;36;80,43;0;26,963;0;0,057;0;77,529;65,913;97,895;45,448;0;40,882
0706;Montemor-o-Novo;15,88106012;4,03;27,88830522;1,540823014;0,611937488;2;75;77;51,9;30;39,73;0;24,902;0;0,27;0;59,877;60,621;67,155;67,597;0;50,122
0707;Mora;13,78391552;1,78;29,07606371;-0,88151498;1,428571429;1;93;96;50;10;3,86;0;23,125;0;0,213;0;75;66,667;66,667;43,613;0;33,333
0708;Mourão;14,83478261;10,86;27,91540209;1,744482924;0,104166667;0;90;90;60;13;2,07;0;19,644;0;0,096;0;100;33,332;100;33,676;0;32,848
0709;Portel;20,47412008;4,5;32,23979203;0,013078127;0;0;91;91;41,7;17;4,99;0;35,3;0;1,216;0;89,09;52,819;100;33,876;0;34,796
0710;Redondo;19,84589331;4,14;24,53261601;-6,275352121;3,050773589;2;93;92;62,5;17;5,46;0;30,978;0;0,957;0;95,956;59,167;96,949;33,934;0;34,358
0711;Reguengos de Monsaraz;17,41421393;18,93;24,98255369;3,76478554;0,592165199;0;100;100;54,5;28;8,41;0;23,02;0;0,209;0;100;33,333;100;33,339;0;33,333
0712;Vendas Novas;16,2304878;2,27;27,16501425;4,426313796;0,88550567;0;99;100;5,9;35;39,81;0;23,307;0;0,023;0;45,199;36,775;66,667;74,46;0;36,669
0713;Viana do Alentejo;15,60551724;3,93;28,69220824;0,076055036;0;0;100;87;44,4;20;4,46;0;24,357;0;0,515;0;68,299;66,667;82,942;41,161;0;35,317
0714;Vila Viçosa;14,34026174;3,14;20,62630034;3,775236511;1,35301353;0;98;98;0;28;6,46;0;34,496;0;0,677;0;100;33,333;66,667;33,745;0;33,978
0801;Albufeira;23,20902256;76,99;64,94515886;14,10093162;0,281347768;0;96;95;50;57;86,48;0;24,794;3,492;1,943;0;28,714;33,313;100;86,525;6,586;44,7
0802;Alcoutim;21,5705968;4,42;54,90246336;13,50697547;0;0;69;100;25;14;2,26;0;41,825;0;3,212;0;49,891;33,333;100;35,339;0;34,842
0803;Aljezur;28,91202873;95,3;53,34374168;12,9152005;0,744500846;0;54;98;5,6;41;4,57;0,233;56,222;4,367;6,308;0;33,763;33,347;66,992;98,186;3,105;44,494
0804;Castro Marim;22,62337662;21,34;50,79582618;8,183283052;0,937756418;0;84;97;9,4;50;14,89;0;40,482;8,046;2,848;0;32,664;33,333;100;46,99;0,28;40,276
0805;Faro;18,61816251;15,96;43,04267161;8,082319191;1,154508755;4;91;96;47,4;54;99,23;0,903;22,011;36,284;3,495;0;26,09;33,292;100;81,13;3,418;46,472
0806;Lagoa;20,42241379;91,1;47,79768176;7,806479115;0,820616182;0;93;100;30,4;55;36,79;2,698;26,217;9,248;0,166;0;25,547;33,338;100;86,08;8,298;38,438
0807;Lagos;21,56776034;94,6;59,56536606;14,80994568;1,541390547;0;94;100;15,6;59;44,59;0;44,593;7,445;2,324;0;39,626;33,328;89,942;96,398;3,567;34,989
0808;Loulé;22,04027778;52,14;61,49048051;14,26354054;0,591671772;1;82;82;2,7;50;120,5;0;47,93;2,858;7,904;0;43,108;33,321;100;73,97;2,798;54,146
0809;Monchique;24,62340037;4,68;29,59801965;-15,453602;0;0;81;60;90;34;4,69;0,006;85,965;0;23,454;0;50;33,333;99,317;98,525;0;44,043
0810;Olhão;20,66160221;22,12;44,09476978;9,915835647;2,95227525;0;78;96;45,9;49;63,54;0;22,201;30,062;2,086;0;25;33,333;100;81,721;2,805;49,11
0811;Portimão;21,14619883;48,27;61,42494812;21,42194286;1,392261955;1;98;98;1,2;56;87,03;1,807;45,645;14,445;2,165;0;35,793;33,319;100;91,251;13,856;32,894
0812;São Brás de Alportel;21,2503864;6,33;37,28842105;10,15817622;0,788834951;0;67;97;20,5;46;8,28;0;65,072;0;10,854;0;48,136;33,333;100;68,214;0;63,463
0813;Silves;21,9186747;26,22;48,84288355;12,34992309;0,330260906;1;74;89;36,6;48;72,1;0,177;50,328;1,165;6,907;0;46,75;33,409;100;81,841;0,954;34,685
0814;Tavira;25,23916533;39,82;63,37924849;18,93369778;2,385321101;1;79;85;41,8;54;36,59;0,222;58,478;4,609;8,832;0;35,68;33,333;100;70,346;1,027;55,326
0815;Vila do Bispo;23,01487603;95,61;48,44201778;3,786239408;0,474656721;0;96;96;47,7;50;4,08;0;46,996;4,263;2,672;0;33,206;33,336;66,667;93,439;3,111;58,162
0816;Vila Real de Santo António;23,66771654;25,01;57,90417024;14,23874419;2,32311036;0;99;100;11,1;54;26,65;0;31,216;24,438;0,17;0;25;33,332;100;67,783;14,058;60,895
0901;Aguiar da Beira;26,00483092;2,2;31,61139654;3,851270955;0,159140641;0;82;98;28,6;62;4,25;0;71,16;0;5,956;49,966;75;81,386;66,667;33,333;0;77,871
0902;Almeida;20,67799353;0,58;22,59414226;1,636705189;0,334156618;2;100;100;56,3;35;15,99;0;72,194;0;2,701;59,328;100;99,999;66,667;32,781;0;63,489
0903;Celorico da Beira;24,98100173;0;24,59949891;2,026295712;0,171499844;1;81;100;45,5;26;19,16;0;78,013;0;14,415;28,418;94,416;67,783;66,667;34,909;0;65,755
0904;Figueira de Castelo Rodrigo;28,10526316;6,55;26,63159626;1,504291606;0,340379792;0;100;100;0;18;4,86;0;70,639;0;8,239;29,671;100;99,999;66,667;35,737;0;50,355
0905;Fornos de Algodres;27,61594203;3,47;25,75516694;2,353695148;0,443896424;0;100;100;50;26;12,55;0;77,547;0;11,886;21,456;75,69;67,115;66,667;34,382;0;87,283
0906;Gouveia;24,84044944;3,68;19,35928051;-3,166530311;0,210268092;1;95;100;0;24;10,91;0;83,799;0;16,707;44,557;91,856;66,667;66,667;34,176;0;99,634
0907;Guarda;16,70128119;1,21;21,13487465;1,150826148;0,245933317;0;96;95;50;38;73,86;0;79,756;0;14,411;64,914;100;85,917;66,667;34,019;0;73,146
0908;Manteigas;24,12113402;15,94;24,85997085;1,929575257;1,443001443;0;93;93;75;31;2,66;0;85,996;0;39,392;84,145;100;66,667;66,667;37,614;0;100
0909;Mêda;30,72611465;0;26,51174207;1,702987062;0,351631178;0;98;100;50;36;4,04;0;70,085;0;8,476;31,444;78,803;100;66,667;34,67;0;36,862
0910;Pinhel;28,41458333;1,26;25,57625512;1,29629754;0,484496124;0;94;99;0;42;11,38;0;72,739;0;5,085;36,681;100;100;66,667;33,569;0;41,977
0911;Sabugal;23,69430052;0,87;20,91317749;-1,891603391;0;0;86;94;43,8;46;9,74;0;77,922;0;4,135;65,153;100;97,632;66,667;33,003;0;66,591
0912;Seia;23,03470716;10,09;20,70360571;-0,627603849;0,039367865;3;97;97;57,8;27;19,18;0;84,185;0;28,967;42,119;84,775;66,667;66,667;34,425;0;95,426
0913;Trancoso;27,10536779;2,47;16,19286104;-8,476894377;0,127684272;1;76;85;38,1;46;7,67;0;76,867;0;10,055;49,111;78,041;96,34;66,667;34,671;0;52,236
0914;Vila Nova de Foz Côa;30,44656489;0;14,7051796;-3,876490188;0;0;97;100;64,3;28;5,68;0;72,635;0;16,836;9,96;88,292;100;66,667;34,053;0;33,337
1001;Alcobaça;18,21288515;11,98;33,09995782;7,445162306;0,196106295;0;56;100;8;44;70,86;0;41,441;4,816;5,746;0;42,101;33,709;33,333;58,654;3,145;52,835
1002;Alvaiázere;24,45774648;2,94;21,28078818;-10,23400346;0,544402858;1;33;100;47,1;24;9,56;0;60,831;0;10,486;0,027;74,077;66,667;66,667;33,799;0;38,343
1003;Ansião;21,7744511;5,17;22,5486541;0,717834163;0,011636025;0;46;92;25,6;39;11,97;0;50,434;0;4,92;0,005;55,397;66,667;66,667;33,333;0;36,166
1004;Batalha;17,34314381;3,86;25,5878661;5,542308016;0,011899096;0;80;100;0;49;20,07;0;52,509;0;8,396;0,001;55,455;66,667;33,333;61,67;0;53,263
1005;Bombarral;23,06445993;5,15;28,44971818;4,233416305;0,262434391;0;96;100;14,8;34;36,42;0;32,646;0;2,778;0;49,037;33,333;33,333;72,834;0;66,747
1006;Caldas da Rainha;20,69565217;10,09;39,71412103;9,965739377;0,188083777;1;94;100;0;41;77;0;37,794;5,943;6,816;0;41,046;33,333;33,333;59,441;2,484;65,948
1007;Castanheira de Pêra;23,36193029;6,44;37,0785425;6,224602915;0,593251761;0;92;99;83,3;17;2,48;0;84,183;0;19,879;38,639;75;66,667;66,667;33,333;0;89,065
1008;Figueiró dos Vinhos;24,20092379;3,55;36,34285714;4,791264786;0,180433039;0;37;100;0;33;5,9;0;89,523;0;24,112;13,662;75;66,667;66,667;33,333;0;65,737
1009;Leiria;15,95803357;1,95;32,22878457;6,275493703;0,156721616;1;92;100;28;53;234,61;0;41,215;1,102;3,773;0;46,331;66,513;34,586;49,316;1,254;43,41
1010;Marinha Grande;15,58942632;5,44;26,8658086;5,822369077;1,26233647;1;100;99;10;41;36,2;0;57,413;5,296;0,064;0;31,788;66,287;33,333;63,497;2,694;62,965
1011;Nazaré;21,7465035;52,62;48,11077197;19,18787012;0,62193605;3;97;100;28,9;51;23,38;0;37,812;11,035;3,514;0;27,483;33,333;33,333;59,414;8,963;60,016
1012;Óbidos;20,23439878;45,45;37,4418505;8,566304015;0,13293453;0;87;99;4,3;49;32,76;0;35,428;12,861;3,605;0;31,344;33,333;33,333;55,141;6,565;79,105
1013;Pedrógão Grande;25,55575221;2,89;37,43623284;4,500062631;0,699105145;0;43;100;62,5;24;3,04;0;84,175;0;6,848;6,434;75;66,667;66,667;33,538;0;71,987
1014;Peniche;21,13343558;34,94;37,37676311;8,330700704;2,751997045;1;100;100;24,6;41;30,1;0;25,053;22,405;0,245;0;25;34,015;33,333;41,809;17,256;97,448
1015;Pombal;19,48548278;1,66;28,20090325;3,779087704;0,401570851;1;65;100;0;52;108,15;0,142;49,163;0,972;4,699;0,003;45,431;66,667;49,489;46,167;0,503;39,495
1016;Porto de Mós;17,0728022;4,23;24,56510824;5,106696394;0,053378069;0;59;100;29,4;31;20,14;0;61,209;0;13,139;0,152;54,797;47,855;33,333;67,191;0;59,56
1101;Alenquer;17,17241379;1,97;36,20776494;7,253045066;0,08105802;0;85;100;13,2;41;62,92;0,618;38,79;1,094;7,307;0;52,286;33,333;33,333;96,256;5,412;53,63
1102;Arruda dos Vinhos;15,07381776;0,77;34,08053613;9,37047696;1,031866464;1;100;98;0;41;15,62;0;43,454;0;9,91;0;47,035;33,333;33,333;100;0;66,684
