DICO;Localizacao;pop_risco_pobreza;proporcao_al;txt_esforco_2023;variacao_txt_esforco_2017_2023;prop_fogos_hab_social;aru_oru;prop_drenagem_agua;prop_abast_agua;r_edi_habfa;certificacao_a_c;emicao_co2_transportes;cheias_inu;incendios;inund_galg;movi_massa;nevoes_pon;onda_de_calor;onda_de_fr;seca_ponde;sismo_pord;tsunami_po;ventos_for
1112;Sobral de Monte Agraço;28,29536;2,771677;26,49643909;51,98460132;0;100;0;0;100;50,72463768;1,481615611;0;44,05357468;0;22,04501281;0;33,33333333;11,23848325;0;100;0;55,25729531
1113;Torres Vedras;29,51171;3,210961;44,50745382;61,25557224;1,479981;90,625;6,315789474;2,12766;99,4;31,88405797;14,13020323;3,036580814;34,49722576;4,93594686;11,00070843;0;23,372;11,23848325;0;65,18799102;5,507814753;62,92527297
1114;Vila Franca de Xira;8,018587;0,941324;49,74013615;76,70454483;16,07101;100;0;0;92,4;26,08695652;31,809467;18,04217992;13,34364199;65,94804579;8,733719642;0;9,241333333;11,21851201;0;77,15207632;100;26,53400809
1115;Amadora;25,50061;1,453823;83,61629279;90,19160702;32,33226;100;0;0;100;40,57971014;34,21243236;0;15,77565035;0;11,17145919;0;3,226666667;11,23848325;0;100;0;43,33865068
1116;Odivelas;26,1964;0,700764;73,28319402;86,47514047;12,07506;100;0;0;99,2;24,63768116;27,57871416;5,356476297;19,28665636;0,007413558;15,9016185;0;13,50133333;11,23848325;0;100;2,563584982;31,04595836
1201;Alter do Chão;16,75475;4,277795;12,85354617;38,33072797;50,54291;93,75;10,52631579;0;28,6;75,36231884;0,25989519;0;28,88279971;0;0,223429184;0;66,66666667;55,61990733;50,00075;8,5171156;0;8,322561127
1202;Arronches;21,74903;0;13,22691837;34,35291618;31,58347;100;14,73684211;46,80851;33,3;84,05797101;0,226875719;0;37,75241041;0;0,957294145;0;98,55333333;13,26756138;50,00075;8,424523008;0;12,2321846
1203;Avis;22,92037;8,513754;14,12183943;34,82439091;0;96,875;20;40,42553;0;79,71014493;0,342976439;0;21,36278879;0;0,328786035;0;66,66666667;55,61990733;50,00075;8,591470258;0;8,321185951
1204;Campo Maior;14,20716;1,150507;1,368309079;34,60431721;14,9616;96,875;6,315789474;8,510638;76,2;60,86956522;0,664649994;0;24,08245407;0;0,210713702;0;100;11,23715183;50,00075;21,03535354;0;7,830248357
1205;Castelo de Vide;20,48661;12,51961;10,27564846;34,53485844;9,380513;93,75;17,89473684;27,65957;11,1;78,26086957;0,247113459;0;60,4704839;0;4,737425297;0,709489572;76,03866667;55,61990733;50,00075;6,372053872;0;18,44385159
1206;Crato;15,16734;3,210961;12,67625705;39,03534852;9,022536;100;12,63157895;17,02128;23,1;73,91304348;0,271611776;0;40,38339094;0;0,12715482;0;66,66666667;55,61990733;50,00075;6,485690236;0;8,486206991
