municipality_code,municipality_name,indicator_id,normalized_value,raw_value,source
0103,Anadia,emicao_co2_transportes,94.99808274040304,47.29,static
0103,Anadia,ganho_medio_mensal,16.406761892281484,1203.3,auto
0103,Anadia,incendios,55.38020738584684,44.001,static
0103,Anadia,ind_env_edif,90.80227328196368,1137.3,auto
0103,Anadia,indice_gini,57.731958762886585,43.1,auto
0103,Anadia,inund_galg,100,0,static
0103,Anadia,movi_massa,91.17182249187118,4.86,static
0103,Anadia,nevoes_pon,99.998811575257,0.001,static
0103,Anadia,onda_de_calor,66.66666666666666,50,static
0103,Anadia,onda_de_fr,44.38009266656015,66.667,static
0103,Anadia,per_pop_ensino_sec_cpmpleto,37.33600177896376,38.17,auto
0103,Anadia,pop_risco_pobreza,68.42110638759254,20.77777778,static
0103,Anadia,prop_abast_agua,100,100,static
0103,Anadia,prop_drenagem_agua,10.085836909871244,99,static
0103,Anadia,prop_edificado_reparacoes_prof_med,53.19162715337353,19.29473051492687,auto
0103,Anadia,prop_fogos_hab_social,98.91457399488309,0.114996956,static
0103,Anadia,prop_pedonal,2.452830188679245,8.6,auto
0103,Anadia,prop_sem_aquecimento,82.15768200645131,19.434694254572328,auto
0103,Anadia,prop_transporte_colectivo,19.94047619047619,7.5,auto
0103,Anadia,prop_vagos,51.741293532338304,15.5,auto
0103,Anadia,proporcao_al,96.32883589582678,3.51,static
0103,Anadia,r_edi_habfa,80,20,static
0103,Anadia,residentes_65_ou_mais_anos,48.96963123644252,29.46,auto
0103,Anadia,seca_ponde,100,33.333,static
0103,Anadia,sismo_pord,67.91806958473626,51.588,static
0103,Anadia,tsunami_po,100,0,static
0103,Anadia,txt_bruta_crescimento_efectivo,64.0625,1.08,auto
0103,Anadia,txt_bruta_natalidade,41.666666666666664,6.2,auto
0103,Anadia,txt_desemprego,90.3301886792453,4.33,auto
0103,Anadia,txt_esforco_2023,78.97283280466563,27.73606662,static
0103,Anadia,variacao_txt_esforco_2017_2023,53.50522050337007,3.131823342,static
0103,Anadia,ventos_for,86.62917021920295,37.005,static
0104,Arouca,a_apoarrend,99.5147986414362,40,auto
0104,Arouca,agregados_unipessoais,86.64136622390892,17.43,auto
0104,Arouca,alojamentos_ar_condicionado,1.7373148439962178,890,auto
0104,Arouca,aru_oru,9.375,3,static
0104,Arouca,beneficiarios_rsi,96.04647653538557,9.95,auto
0104,Arouca,certificacao_a_c,89.85507246376811,62,static
0104,Arouca,cheias_inu,100,0,static
0104,Arouca,consumo_energetico,84.86216626872151,1312.2,auto
0104,Arouca,disparidade_ganho,80.31496062992126,7.7,auto
0104,Arouca,emicao_co2_transportes,97.83243151122664,20.68,static
0104,Arouca,ganho_medio_mensal,14.526274407023978,1174.6,auto
