municipality_code,municipality_name,beneficiarios_rsi,disparidade_ganho,indice_gini,ganho_medio_mensal,per_pop_ensino_sec_cpmpleto,txt_desemprego,agregados_unipessoais,residentes_65_ou_mais_anos,txt_bruta_natalidade,txt_bruta_crescimento_efectivo,a_apoarrend,prop_vagos,prop_edificado_reparacoes_prof_med,ind_env_edif,consumo_energetico,alojamentos_ar_condicionado,prop_sem_aquecimento,prop_pedonal,prop_transporte_colectivo,pop_risco_pobreza,proporcao_al,txt_esforco_2023,variacao_txt_esforco_2017_2023,prop_fogos_hab_social,aru_oru,prop_drenagem_agua,prop_abast_agua,r_edi_habfa,certificacao_a_c,emicao_co2_transportes,cheias_inu,incendios,inund_galg,movi_massa,nevoes_pon,onda_de_calor,onda_de_fr,seca_ponde,sismo_pord,tsunami_po,ventos_for
1605,Paredes de Coura,95.93330315376492,87.13910761154857,79.38144329896907,12.082295898309528,20.54703135423616,82.60613207547169,67.81783681214421,45.363340563991336,26.041666666666664,41.145833333333336,99.91508976225133,56.21890547263681,68.3959776890366,96.35995955510616,80.58172346429346,0.3624330286794831,87.31418485956284,6.603773584905662,37.5,42.71520411067844,87.0306453299864,88.54849422894438,61.09122657138057,99.8518019020565,3.125,9.334763948497852,100,90.9,60.86956521739131,98.64513655148907,100,27.837911588138997,100,73.87876696154476,91.37084794105414,32.861333333333334,0,100,92.38215488215488,100,24.34747930361121
1606,Ponte da Barca,96.41617624867963,84.77690288713912,68.04123711340205,6.6046389726117205,26.55103402268179,80.60141509433963,63.94686907020872,47.071583514099785,34.37499999999999,50.34722222222222,99.35710819990295,68.65671641791045,69.3569716491375,97.1444510302988,86.0733666160191,0.707138354869209,86.74829499879328,17.92452830188679,29.464285714285708,29.47531839923015,96.27654011086706,84.44773817267345,56.41405133402867,85.34882639690001,0,8.690987124463518,97.87234042553192,56.49999999999999,66.66666666666666,98.76762813684974,99.18626353116836,17.472030198289982,100,23.142177253819188,72.15639669617921,18.202666666666666,0,100,93.824354657688,100,55.06064523226711
1607,Ponte de Lima,98.21186057039384,85.8267716535433,71.13402061855669,12.803040230638183,30.598176562152553,85.25943396226415,80.3415559772296,62.52711496746204,46.87499999999999,42.53472222222222,98.14410480349343,88.05970149253733,71.71425968864364,97.66657368989924,80.76405469937052,3.565237945162307,77.54144744655254,7.169811320754717,46.726190476190474,50.65295238262944,93.2224662692187,71.16437345858535,43.95265833626855,92.09359897903072,6.25,5.042918454935622,95.74468085106383,81,85.5072463768116,91.9315325295045,98.54983202687568,39.664817173003456,100,62.39305371382899,98.7996910095668,49.94266666666667,0,100,89.17508417508418,96.68521829401924,61.12791880964823
1608,Valença,84.85740153915799,81.88976377952756,78.35051546391752,13.438605687328009,34.91216366466533,71.75707547169812,65.84440227703985,56.91431670281995,51.04166666666665,62.15277777777778,99.53905870936438,57.71144278606965,66.00465376065381,97.28653115302816,77.35619709138268,1.0262369996848408,79.6865588096392,12.452830188679249,28.869047619047617,57.69738749620057,100,76.99518762166862,53.17943458137846,89.4901532454436,6.25,6.866952789699571,100,89.7,71.01449275362319,97.46602189936516,100,39.237311260687655,99.15781982088843,69.18493760331329,98.89238813952106,33.28666666666667,0,100,84.50056116722783,97.25474364150182,47.95923980307489
1609,Viana do Castelo,90.99894371510489,82.41469816272968,58.76288659793815,25.43572270999869,50.789415165666,79.65801886792453,69.56356736242884,60.900216919739705,53.124999999999986,49.13194444444445,95.71809801067444,77.11442786069652,76.42386108119473,95.99909347651754,80.42978076839591,6.397730854081312,76.23164961611137,12.075471698113208,27.38095238095238,72.40715486587052,100,64.81305590870693,39.90849380363194,91.44344056871032,12.5,7.832618025751073,95.74468085106383,75.6,79.71014492753623,84.82382514592476,100,44.37875204657086,89.42678370203429,74.93233547074531,99.30952522431517,82.89733333333334,0.18373542099377593,100,86.03254769921436,89.99653959282541,48.16414092796831
1610,Vila Nova de Cerveira,95.948392937981,73.22834645669292,71.64948453608247,23.915607390905528,38.24772070269068,81.89858490566039,62.31499051233397,55.53145336225597,55.20833333333333,63.54166666666667,99.56331877729258,72.636815920398,79.33542777682068,94.57131899166696,74.43021489038419,0.5200126063662149,85.26673253743175,9.811320754716984,33.63095238095238,60.15158773925988,100,85.40329225706579,57.079920056796915,90.42755278660772,3.125,6.008583690987124,100,79.2,78.26086956521739,98.6930680414128,100,32.409723485537576,97.40822015301582,68.94697644002834,99.79321409471744,52.01066666666667,0,100,92.56874298540966,93.05034892439012,39.85533155477323
0101,Águeda,93.42085408178664,72.96587926509187,58.76288659793815,21.44541999737912,38.003113186568825,88.91509433962264,73.85199240986718,59.13774403470716,53.124999999999986,63.888888888888886,98.58078602620088,66.16915422885572,61.56019839821904,95.16578919842404,84.16322986759279,4.138433658997794,81.85465727530006,2.641509433962263,15.17857142857143,76.42742018341004,98.42066729421607,74.42432482814955,43.51326422384556,96.90546746382462,3.125,9.120171673819742,97.87234042553192,98.6,62.31884057971014,93.04354309573516,99.17879805897724,37.47498635619429,100,80.5107990772193,99.0932319210886,70.36266666666666,44.38009266656015,99.98800005999968,78.25897867564534,98.45867697099024,82.71817156687477
0102,Albergaria-a-Velha,91.1272068809416,72.96587926509187,76.28865979381443,25.95990040623771,38.78140982877474,86.85141509433963,75.67362428842505,67.0010845986985,47.91666666666666,71.52777777777779,99.29645803008248,72.13930348258705,70.49592612348557,93.3884801785154,87.18471890601259,2.537031200756382,80.03215999648113,5.471698113207546,19.345238095238095,75.78298385588252,96.25562179688318,77.58213044583437,51.65443255989,93.95995181713616,0,9.120171673819742,100,100,42.028985507246375,92.72506497379746,92.5363941769317,51.51446243405494,88.24209714726291,90.42887504314182,100,94.936,44.38009266656015,100,80.85998877665544,87.7429494203818,87.7416870651008
0103,Anadia,96.87641466727028,80.05249343832021,57.731958762886585,16.406761892281484,37.33600177896376,90.3301886792453,64.59203036053131,48.96963123644252,41.666666666666664,64.0625,99.58757884522078,51.741293532338304,53.19162715337353,90.80227328196368,80.32559149120902,2.03277655215884,82.15768200645131,2.452830188679245,19.94047619047619,68.42110638759254,96.32883589582678,78.97283280466563,53.50522050337007,98.91457399488309,3.125,10.085836909871244,100,80,50.72463768115942,94.99808274040304,100,55.38020738584684,100,91.17182249187118,99.998811575257,66.66666666666666,44.38009266656015,100,67.91806958473626,100,86.62917021920295
0105,Aveiro,90.44816659121776,68.76640419947506,44.32989690721647,37.01349757567816,73.53791416499891,82.25235849056605,56.81214421252372,71.8817787418655,54.166666666666664,87.5,93.8015526443474,74.6268656716418,83.49655826595844,95.49876224678358,87.16735402648145,4.78254018279231,75.4939155206732,14.339622641509436,20.833333333333332,86.83713361693358,90.48216713732874,60.128880089598894,35.305597583988316,79.46296819202318,0,10.1931330472103,100,87.4,69.56521739130434,83.81513356908526,72.94699514744309,83.20561215208296,51.00676116481823,99.83288223647163,100,100,44.429355062044,100,61.54040404040404,56.10906049945209,83.466266949036
