municipality_code,municipality_name,indicator_id,raw_value,source
0103,Anadia,txt_desemprego,4.33,auto
0103,Anadia,txt_esforco_2023,27.73606662,static
0103,Anadia,variacao_txt_esforco_2017_2023,3.131823342,static
0103,Anadia,ventos_for,37.005,static
0104,Arouca,a_apoarrend,40,auto
0104,Arouca,agregados_unipessoais,17.43,auto
0104,Arouca,alojamentos_ar_condicionado,890,auto
0104,Arouca,aru_oru,3,static
0104,Arouca,beneficiarios_rsi,9.95,auto
0104,Arouca,certificacao_a_c,62,static
0104,Arouca,cheias_inu,0,static
0104,Arouca,consumo_energetico,1312.2,auto
0104,Arouca,disparidade_ganho,7.7,auto
0104,Arouca,emicao_co2_transportes,20.68,static
0104,Arouca,ganho_medio_mensal,1174.6,auto
0104,Arouca,incendios,82.112,static
0104,Arouca,ind_env_edif,523.3,auto
0104,Arouca,indice_gini,39.5,auto
0104,Arouca,inund_galg,0,static
0104,Arouca,movi_massa,29.526,static
0104,Arouca,nevoes_pon,14.741,static
0104,Arouca,onda_de_calor,50,static
0104,Arouca,onda_de_fr,66.667,static
0104,Arouca,per_pop_ensino_sec_cpmpleto,31.66,auto
0104,Arouca,pop_risco_pobreza,26.15665236,static
0104,Arouca,prop_abast_agua,81,static
0104,Arouca,prop_drenagem_agua,51,static
0104,Arouca,prop_edificado_reparacoes_prof_med,16.724926055391233,auto
0104,Arouca,prop_fogos_hab_social,0.21812233,static
0104,Arouca,prop_pedonal,12,auto
0104,Arouca,prop_sem_aquecimento,19.84732824427481,auto
0104,Arouca,prop_transporte_colectivo,11.6,auto
0104,Arouca,prop_vagos,10.1,auto
0104,Arouca,proporcao_al,5.86,static
0104,Arouca,r_edi_habfa,25.9,static
0104,Arouca,residentes_65_ou_mais_anos,23.79,auto
0104,Arouca,seca_ponde,33.333,static
0104,Arouca,sismo_pord,33.333,static
0104,Arouca,tsunami_po,0,static
0104,Arouca,txt_bruta_crescimento_efectivo,-0.43,auto
0104,Arouca,txt_bruta_natalidade,6.2,auto
0104,Arouca,txt_desemprego,4.83,auto
0104,Arouca,txt_esforco_2023,30.26373626,static
0104,Arouca,variacao_txt_esforco_2017_2023,2.303438497,static
0104,Arouca,ventos_for,59.068,static
0105,Aveiro,a_apoarrend,511,auto
0105,Aveiro,agregados_unipessoais,25.29,auto
0105,Aveiro,alojamentos_ar_condicionado,2436,auto
0105,Aveiro,aru_oru,0,static
0105,Aveiro,beneficiarios_rsi,17.37,auto
0105,Aveiro,certificacao_a_c,48,static
0105,Aveiro,cheias_inu,14.495,static
0105,Aveiro,consumo_energetico,1259.1,auto
0105,Aveiro,disparidade_ganho,12.1,auto
0105,Aveiro,emicao_co2_transportes,152.28,static
0105,Aveiro,ganho_medio_mensal,1517.8,auto
0105,Aveiro,incendios,19.528,static
0105,Aveiro,ind_env_edif,598.5,auto
0105,Aveiro,indice_gini,45.7,auto
0105,Aveiro,inund_galg,33.043,static
0105,Aveiro,movi_massa,0.092,static
0105,Aveiro,nevoes_pon,0,static
0105,Aveiro,onda_de_calor,25,static
0105,Aveiro,onda_de_fr,66.63,static
0105,Aveiro,per_pop_ensino_sec_cpmpleto,54.45,auto
0105,Aveiro,pop_risco_pobreza,15.51187905,static
0105,Aveiro,prop_abast_agua,100,static
0105,Aveiro,prop_drenagem_agua,100,static
0105,Aveiro,prop_edificado_reparacoes_prof_med,8.942202835332607,auto
0105,Aveiro,prop_fogos_hab_social,2.175824176,static
0105,Aveiro,prop_pedonal,14.9,auto
0105,Aveiro,prop_sem_aquecimento,25.397984963321463,auto
0105,Aveiro,prop_transporte_colectivo,7.8,auto
0105,Aveiro,prop_vagos,10.9,auto
0105,Aveiro,proporcao_al,9.1,static
0105,Aveiro,r_edi_habfa,12.6,static
0105,Aveiro,residentes_65_ou_mais_anos,21.01,auto
0105,Aveiro,seca_ponde,33.333,static
0105,Aveiro,sismo_pord,56.134,static
0105,Aveiro,tsunami_po,30.441,static
0105,Aveiro,txt_bruta_crescimento_efectivo,2.43,auto
0105,Aveiro,txt_bruta_natalidade,7.4,auto
0105,Aveiro,txt_desemprego,5.7,auto
0105,Aveiro,txt_esforco_2023,39.41397913,static
0105,Aveiro,variacao_txt_esforco_2017_2023,10.40678489,static
0105,Aveiro,ventos_for,39.305,static
0106,Castelo de Paiva,a_apoarrend,26,auto
0106,Castelo de Paiva,agregados_unipessoais,15.53,auto
0106,Castelo de Paiva,alojamentos_ar_condicionado,1173,auto
0106,Castelo de Paiva,aru_oru,4,static
0106,Castelo de Paiva,beneficiarios_rsi,14.17,auto
0106,Castelo de Paiva,certificacao_a_c,44,static
0106,Castelo de Paiva,cheias_inu,0,static
0106,Castelo de Paiva,consumo_energetico,1216.7,auto
0106,Castelo de Paiva,disparidade_ganho,7.3,auto
0106,Castelo de Paiva,emicao_co2_transportes,17.75,static
0106,Castelo de Paiva,ganho_medio_mensal,1077.4,auto
0106,Castelo de Paiva,incendios,74.567,static
0106,Castelo de Paiva,ind_env_edif,794.2,auto
0106,Castelo de Paiva,indice_gini,36.9,auto
0106,Castelo de Paiva,inund_galg,0,static
0106,Castelo de Paiva,movi_massa,27.953,static
0106,Castelo de Paiva,nevoes_pon,0.203,static
0106,Castelo de Paiva,onda_de_calor,50,static
0106,Castelo de Paiva,onda_de_fr,66.667,static
